cre88_RECID,cre88_TAXITEMGROUP,cre88_TAXGROUP,cre88_CONFIRMEDTAXWRITECODE,cre88_CURRENCYCODE,cre88_ITEMREFTYPE,cre88_NAME,cre88_TRANSACTIONCODE,cre88_VENDACCOUNT,cre88_DATAAREAID,cre88_ORDERACCOUNT,cre88_DELIVERYNAME,cre88_PAYMENT,cre88_PAYMMODE,cre88_PRICEGROUPID,cre88_PURCHASETYPE,cre88_PURCHNAME,cre88_PURCHSTATUS,cre88_VATNUM,cre88_VENDGROUP,cre88_COUNTRYREGIONID,cre88_ZIPCODE,cre88_STREET,cre88_CITY,cre88_STATE,cre88_COUNTY,cre88_PRODUCTTYPE,cre88_ITEMGROUPID
11,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93004,nl20,93004,M/V ERASMUSGRACHT,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,EST,,"IMO : 9081368 Flag ; Netherlands  Place of berthing:pier No9, Tallin,  Western Shipyard Tallinn Kopli 103, 11712 Tallinn  shipyard@blrt.ee Phone: +370-68677243",,,,1,FG
12,Goods,P-EU-RC,,EUR,1,Hempel's Marine Varnish,Verkoop,93022,nl20,93022,M/V ROYAL CLIPPER,CM+25,Clearing,Area 3,3,HEMPEL (PORTUGAL) S.A. - II,1,PT500133336,INTERNAL,PRT,1200-002,CM:  Term. Passageiros Sta. Apolónia,Lisboa,,,1,FG
13,Goods,P-EU-RC,,EUR,1,Hempel's Marine Varnish,Verkoop,93023,nl20,93023,HAPPY DOVER (SPLIETHOFF) IMO 9551959,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,1,ESA08183881,INTERNAL,ESP,46730,DOVER (SPLIETHOFF)  IMO 9551959 Bandera:  Netherlands [NL],Puerto De Gandia,,,1,FG
14,Goods,P-EU-RC,,EUR,1,Hempel's Marine Varnish,Verkoop,93023,nl20,93023,M/V Star Flyer - IMO 8915433,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,1,ESA08183881,INTERNAL,ESP,29001,MUELLE NRO 2 PALMERAL PUERTO DE MALAGA  ,Malaga,,,1,FG
15,Goods,4,,EUR,0,Hempel's Marine Varnish,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
16,Goods,4,ALV,EUR,0,Hempel's Marine Varnish,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
17,Goods,VAT-FOR-21,,EUR,1,Hempel's Marine Varnish,11,93020,hr89,93020,M/V KASTAV,CM+25,Clearing,,3,HEMPEL (THE NETHERLANDS) B.V. - II,3,NL 001839561B01,INTERNAL,NLD,3161,"Agent Company Name:	Vertom Agencies B.V. Address:	Oever 7, 3161 GR RHOON, Rhoon, Netherlands Phone:	+31 102858585 Fax:	+31 102858470 E-mail:agency@vertom.nl  ",Rotterdam,,,1,FG
18,Goods,P-EU-RC,BTW,EUR,0,Hempel's Marine Varnish,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
19,Goods,P-EU-RC,BTW,EUR,0,Hempel's Marine Varnish,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
20,Goods,P-EU-RC,BTW,EUR,0,Hempel's Marine Varnish,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
21,Goods,P-EU-RC,BTW,EUR,0,Hempel's Marine Varnish,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,1,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
22,Goods,P-EU-RC,,EUR,0,Hempel's Marine Varnish,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
23,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93053,nl20,93053,JFJ DE NUL (JDN) IMO 9260677,CM+25,Clearing,Area 2,3,P.T. HEMPEL INDONESIA - II,3,No VAT Number,INTERNAL,IDN,,Batam,,,,1,FG
24,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Retour,93053,nl20,93053,JFJ DE NUL (JDN) IMO 9260677,CM+25,Clearing,Area 2,3,P.T. HEMPEL INDONESIA - II,3,No VAT Number,INTERNAL,IDN,,Batam,,,,1,FG
25,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93053,nl20,93053,DIOGO CAO (JDN) IMO 9823481,CM+25,Clearing,Area 2,3,P.T. HEMPEL INDONESIA - II,4,No VAT Number,INTERNAL,IDN,,Batam,,,,1,FG
26,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93053,nl20,93053,DIOGO CAO (JDN) IMO 9823481,CM+25,Clearing,Area 2,3,P.T. HEMPEL INDONESIA - II,3,No VAT Number,INTERNAL,IDN,,Batam,,,,1,FG
27,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93011,nl20,93011,TRICA (SPLIETHOFF) IMO 9307384,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,10900,c/o Hangö Stevedoring 0192219233 Länsisatama *TOIM 20.6.*,Hanko,,,1,FG
28,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93004,nl20,93004,SAIMAAGRACHT (SPLIETHOFF),CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,POL,,"IMO : 9288069 Flag ; Netherlands  Port Gdynia  c/o Transfennica Polska Sp. z o.o. [Gdynia Al. Solidarnosci 1c, 81336 Gdynia +48 58 6601260",Gdynia,,,1,FG
29,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93050,nl20,93050,m/v Angus Express,CM+25,Clearing,Area 2,3,HEMPEL (AUSTRALIA) PTY. LTD - II,1,,INTERNAL,AUS,,,,,,1,FG
30,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93022,nl20,93022,POMPEI (JDN) IMO 8706583,CM+25,Clearing,Area 3,3,HEMPEL (PORTUGAL) S.A. - II,3,PT500133336,INTERNAL,PRT,4900-350,CM: 115,Viana do Castelo,,,1,FG
31,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,MOLENGRACHT (SPLIETHOFF) IMO 9571533,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,2,No VAT Number,INTERNAL,SGP,,,,,,1,FG
32,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93022,nl20,93022,M/V EXEMPLAR,CM+25,Clearing,Area 3,3,HEMPEL (PORTUGAL) S.A. - II,3,PT500133336,INTERNAL,MLT,,Port of Valletta,Valletta,,,1,FG
33,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93086,nl20,93086,DYNAMOGRACHT,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,CHN,,Nanjing,,,,1,FG
34,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,M/V Aniek,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,NLD,1811 CP,OudeOudegracht 168,Alkmaar,,,1,FG
35,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,m/v Devon Express,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,4,,INTERNAL,SGP,,,singapore,,,1,FG
36,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,m/v Devon Express,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,4,No VAT Number,INTERNAL,SGP,,,singapore,,,1,FG
37,Goods,P-NEU-0,BTW,USD,0,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,m/v Devon Express,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,1,No VAT Number,INTERNAL,SGP,,,singapore,,,1,FG
38,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,m/v Devon Express,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,SGP,,,singapore,,,1,FG
39,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93011,nl20,93011,SUOMIGRACHT (SPLIETHOFF) IMO 9288057,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,26100,c/o Euroports Rauma Hakunintie 23 tel. 0400 595165,Rauma,,,1,FG
40,Goods,P-EU-RC,BTW,EUR,0,Hempel's Marine Varnish,Verkoop,93018,nl20,93018,M/V ROYAL CLIPPER,CM+25,Clearing,Area 3,3,HEMPEL (ITALY) s.r.l. - II,3,IT00246440101,INTERNAL,ITA,80067,ETA: 17-06 PORTO DI SORRENTO MARITTIMA PARTENOPEA Via Alcide de Gasperi 55 80133 Napoli Italy Tel 39 081201793 Capt. Michele RUSSO          Mob. +39 335 6937446 - E-mail: m.russo@maripar.com Mr Antonio KALIMERIS         Mob. +39 347 1666205 -,Sorrento,,,1,FG
41,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93011,nl20,93011,m/v STATENGRACHT,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,26100,c/o Euroports Rauma Hakunintie 23 tel. 0400 595165,Rauma,,,1,FG
42,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93004,nl20,93004,M/V VITRUVIUS,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,DEU,27472,"IMO: 9485459 FLAG: LUXEMBOURG  Baudirektor-Hahn-Str., Cuxhaven  c/o Peter Hein GmbH Woltmanstr. 8 27472 Cuxhaven TEL.: 04721 57130 cd@peterhein.eu",Cuxhaven,,,1,FG
43,Goods,P-NEU-0,,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,M/V STAR CLIPPER,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,1,No VAT Number,INTERNAL,SGP,,SINGAPORE,,,,1,FG
44,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93004,nl20,93004,M/V CORAL PATULA,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,LTU,,"IMO:  9425241 Flag ; Netherlands (NL)  Western SY, Klapeida  c/o Western Shipyard, Klaipeda, Lithuania Mr. Petras Jundulas Mob. +370 614 58192",,,,1,FG
45,Goods,P-EU-RC,BTW,EUR,1,Hempel's Marine Varnish,Verkoop,93004,nl20,93004,M/V SAMPOGRACHT,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,POL,,IMO:  9288071 Flag ; Netherlands  Nabrzeże MPH WOC2 Gdańsk  c/o Transfennica Polska Sp. z o.o. Gdynia +48 58 660 1260,,,,1,FG
46,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,M/V JFJ DE NUL,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,SGP,,Singapore,,,,1,FG
47,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,M/V JFJ DE NUL,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,4,No VAT Number,INTERNAL,SGP,,Singapore,,,,1,FG
48,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93055,nl20,93055,MOLENGRACHT (SPLIETHOFF) IMO 9571533,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,4,No VAT Number,INTERNAL,SGP,,,,,,1,FG
49,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,94042,nl20,94042,IVER BLESSING (VROON) IMO 9588287,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - RETURN,2,No VAT Number,INTERNAL,USA,,Biehl 251-432-1605 Ros Maritime Launch Service AL 36602,Mobile,,,1,FG
50,Goods,P-NEU-0,,USD,1,Hempel's Marine Varnish,Verkoop,93042,nl20,93042,M/V SUOMIGRACHT,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,1,No VAT Number,INTERNAL,USA,7014,Maryland Baltimore,Clifton,,,1,FG
51,Goods,P-NEU-0,,USD,1,Hempel's Marine Varnish,Verkoop,93042,nl20,93042,HAPPY DOVER (SPLIETHOFF) IMO 9551959,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,4,No VAT Number,INTERNAL,USA,,,Savannah,,,1,FG
52,Goods,P-NEU-0,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93042,nl20,93042,M/V POSTNIK YAKOVLEV,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,No VAT Number,INTERNAL,PAN,,C/O Associated Steamship PH: 507-6615-2831,,,,1,FG
53,Goods,4,,EUR,0,Hempel's Wood Impreg EAN: 5709516019999,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
54,Goods,4,,EUR,0,Hempel's Wood Impreg EAN: 5709516019999,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,,,1,FG-Y
55,Goods,4,,EUR,0,Hempel's Wood Impreg,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
56,Goods,4,,EUR,0,Hempel's Wood Impreg EAN: 5709516020001,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,,,1,FG-Y
57,Goods,4,,EUR,0,Hempel's Wood Impreg EAN: 5709516020001,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
58,Goods,P-EU-RC,,EUR,0,Hempel's Diamond Varnish,11,91022,hr89,91022,HEMPEL UMAG,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG-Y
59,Goods,P-EU-RC,PDV,EUR,0,Hempel's Diamond Varnish,11,91022,hr89,91022,HEMPEL UMAG,CM+25,Clearing,,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,1,PT500133336,INTERNAL,HRV,52470,NOVIGRADSKA 32,Umag,,,1,FG-Y
60,Goods,4,,EUR,0,Hempel's Diamond Varnish EAN: 5709516013966,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
61,Goods,P-EU-RC,,EUR,0,Hempel's Diamond Varnish,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG-Y
62,Goods,4,,EUR,0,Hempel's Sealer EAN: 5709516002762,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
63,Goods,4,,EUR,0,Hempel's Sealer EAN: 5709516002762,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
64,Goods,P-EU-RC,BTW,EUR,0,Hempel's Sealer,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
65,Goods,P-EU-RC,BTW,EUR,0,Hempadur Epoxy Sealer,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
66,Goods,P-EU-RC,BTW,EUR,0,Hempel's Hi-Vee Lacquer,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
67,Goods,VAT-FOR-12,BTW,USD,1,Hempel's Hi-Vee Lacquer,Verkoop,93041,nl20,93041,M/V CHARLES DARWIN,CM+25,Clearing,Area 7,3,HEMPEL (ECUADOR) S.A. - II,3,No VAT Number,INTERNAL,ECU,,GUAYAQUIL,,,,1,FG
68,Goods,P-EU-RC,BTW,EUR,1,Hempel's Hi-Vee Lacquer,Verkoop,93004,nl20,93004,M/V MAZARINE,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,POL,,IMO : 9376696 Flag ; Malta  Remontowa shipyard,Gdańsk,,,1,FG
69,Goods,P-EU-RC,BTW,EUR,0,Hempel's Hi-Vee Lacquer,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
70,Goods,P-EU-RC,BTW,EUR,0,Hempel's Hi-Vee Lacquer,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
71,Goods,P-EU-RC,BTW,EUR,0,Hempel's Hi-Vee Lacquer,Verkoop,91022,nl20,91022,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
72,Goods,4,,EUR,1,Hempel's Hi-Vee Lacquer,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
73,Goods,4,,EUR,0,Hempel's Hi-Vee Lacquer,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
74,Goods,4,ALV,EUR,0,Hempel's Hi-Vee Lacquer,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
75,Goods,P-EU-RC,TVA,EUR,0,Hempel's Hi-Vee Lacquer,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
76,Goods,P-EU-RC,TVA,EUR,0,Hempel's Hi-Vee Lacquer,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
77,Goods,P-NEU-0,BTW,USD,1,Hempel's Hi-Vee Lacquer,Verkoop,93055,nl20,93055,M/V DE BOUGAINVILLE,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,2,No VAT Number,INTERNAL,SGP,,Singapore,,,,1,FG
